Country Name,Country Code,Indicator Name,Indicator Code,2012,2013,2014,2015,2016,2017
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,20536542737,20264253974,20616104298,19215562179,19469022208,20815300220
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1.13923E+11,1.24913E+11,1.2673E+11,1.02621E+11,95337203468,1.24209E+11
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,12319784787,12776277515,13228244357,11386931490,11883682171,13039352744
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,3164615187,3281585236,3350736367,2811489409,2877311947,3012914131
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,2.78614E+12,2.86604E+12,2.90692E+12,2.55448E+12,2.50016E+12,2.59105E+12
United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,3.74591E+11,3.90108E+11,4.03137E+11,3.58135E+11,3.57045E+11,3.82575E+11
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,5.45982E+11,5.52025E+11,5.2632E+11,5.94749E+11,5.54861E+11,6.3759E+11
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,10619320049,11121465767,11609512940,10553337673,10546135160,11536590636
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,644000000,641000000,643000000,659000000,658000000,
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1211411704,1192925407,1280133333,1364863037,1460144704,1532397556
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1.54341E+12,1.5737E+12,1.46496E+12,1.34903E+12,1.20804E+12,1.32342E+12
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,4.09425E+11,4.30069E+11,4.41885E+11,3.82066E+11,3.908E+11,4.16596E+11
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,69683935845,74164435946,75244294275,53074370486,37867518957,40747792238
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2472384907,2714505635,3093647227,3066681387,3007029030,3477502178
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,4.97884E+11,5.20925E+11,5.30771E+11,4.5504E+11,4.67546E+11,4.92681E+11
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,8152554487,9157355680,9707432016,8291155881,8573159697,9273558272
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,11166063467,11947176342,12377391463,10419303761,11448781714,12873114800
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1.33356E+11,1.4999E+11,1.72885E+11,1.95079E+11,2.21415E+11,2.49724E+11
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,53903022339,55758754072,56731990232,50199104511,53240893665,56831518294
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,30749308511,32539547872,33387712766,31125851064,32152686170,35307127660
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,10720500000,10627600000,10957300000,11792300000,11838800000,12162100000
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,17226849297,18178503835,18558343508,16209702864,16911088174,18168579578
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,65685102555,75527984234,78813839984,56454734397,47722657821,54442374373
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1573670250,1612573850,1703951050,1778567600,1820158550,1838000000
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,5537537000,5573710000,,,,
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,27084497540,30659338929,32996187988,33000198263,33941126194,37508642113
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,2.46519E+12,2.47281E+12,2.45599E+12,1.80221E+12,1.79399E+12,2.05551E+12
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,4656350000,4612500000,4608350000,4584150000,4529050000,4796845981
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,19048495519,18093829923,17098342541,12930394938,11400653960,12128089002
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,1823692110,1798333726,1944782821,2059258653,2212638830,2511852941
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,14686278707,14915780539,16250774267,14420551446,15648700274,17406530781
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,2169706564,1518565298,1702899386,1583776806,1755468137,1949411659
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1.82429E+12,1.84263E+12,1.79927E+12,1.55962E+12,1.53577E+12,1.65304E+12
Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1.35151E+12,1.42265E+12,1.4639E+12,1.28622E+12,1.31307E+12,1.45075E+12
Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,6.68044E+11,6.88504E+11,7.09183E+11,6.79289E+11,6.68745E+11,6.78887E+11
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,,,,,,
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,2.67122E+11,2.78384E+11,2.60584E+11,2.43999E+11,2.50036E+11,2.77076E+11
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,8.56055E+12,9.60722E+12,1.04824E+13,1.10647E+13,1.1191E+13,1.22377E+13
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,27040562587,31273049200,35372603446,33145096414,36374849865,40388624117
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,29104437355,32348149947,34942948737,30916218544,32217537943,34798596482
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,29306223081,32671683662,35917650630,37917704900,34991160100,37241300949
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,13677930124,14085851348,14177437982,8553154580,7833508879,8722553001
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,3.6966E+11,3.80192E+11,3.78196E+11,2.9152E+11,2.80091E+11,3.09191E+11
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,570865941.2,618663921.9,647720707.1,565689764.6,616654490.4,648920942.7
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1751888562,1850951315,1858121723,1596154666,1638927336,1753736712
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,46473128286,49745088112,50577769838,54775972989,56988989897,57057372468
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,70576655404,71378769877,72525038828,70918077437,67787681466,69331419651
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,73141000000,77148000000,80656100000,87132800000,,
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,25041372222,24084572491,23359294149,19676167240,20153871681,21651791751
Czech Republic,CZE,GDP (current US$),NY.GDP.MKTP.CD,2.07376E+11,2.09402E+11,2.07818E+11,1.8683E+11,1.95305E+11,2.15726E+11
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,3.54398E+12,3.75251E+12,3.89061E+12,3.37561E+12,3.4778E+12,3.67744E+12
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,1353632942,1324733712,1455035089,1633741923,1764268469,1844674435
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,485998000,501979259.3,523666333.3,535095851.9,581484037,562540740.7
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,3.27149E+11,3.43584E+11,3.52994E+11,3.01298E+11,3.069E+11,3.24872E+11
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,60657780261,62661773592,66065015410,68802092021,72342967648,75931656815
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2.09059E+11,2.09755E+11,2.1381E+11,1.65874E+11,1.59049E+11,1.70371E+11
East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,1.07497E+13,1.18647E+13,1.27575E+13,1.32711E+13,1.35093E+13,1.47423E+13
Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,1.00332E+13,1.02009E+13,1.05519E+13,1.02274E+13,1.04374E+13,1.12494E+13
East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,2.10314E+13,2.12752E+13,2.19142E+13,2.1795E+13,2.25122E+13,2.39993E+13
Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,4.05455E+12,4.31146E+12,4.02178E+12,3.07485E+12,2.9433E+12,3.3005E+12
Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,2.23436E+13,2.33522E+13,2.36582E+13,2.03734E+13,2.02807E+13,2.14385E+13
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,87924544000,95129659000,1.01726E+11,99290381000,98613972000,1.03057E+11
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,2.79373E+11,2.88586E+11,3.0553E+11,3.32698E+11,3.32928E+11,2.35369E+11
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,1.26419E+13,1.31933E+13,1.34789E+13,1.16673E+13,1.19347E+13,1.25895E+13
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,,,,,,
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1.33602E+12,1.36185E+12,1.37691E+12,1.19779E+12,1.23726E+12,1.31132E+12
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,23043864510,25137153149,26224622451,22566956982,23337907619,25921079612
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,43310721414,47648211133,55612228234,64464547915,73000980434,80561496134
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,1.72928E+13,1.80297E+13,1.86355E+13,1.64167E+13,1.64919E+13,1.72777E+13
Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,8.1246E+11,8.44211E+11,8.54437E+11,7.58949E+11,7.24091E+11,8.30727E+11
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,2.56706E+11,2.6998E+11,2.72609E+11,2.32465E+11,2.38678E+11,2.51885E+11
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,3972012571,4190143206,4483416340,4362128146,4671313315,5061202767
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.46513E+12,2.5825E+12
Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,2356495468,2613464380,2810547884,2476746087,,
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,326128700,316040600,317999400,315179700,329895600,336427532.9
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,17171468469,17590680917,18179666879,14377389786,14014278017,14622880886
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,2.66209E+12,2.73982E+12,3.02283E+12,2.88557E+12,2.65085E+12,2.62243E+12
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,15846474596,16140047012,16509305828,13993546732,14378016732,15159281211
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,41939728979,47805069495,39086625009,37338430643,42803583022,47330016343
Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,7504778989,8263033525,8765037367,8857790362,9275886922,10491474930
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,910026155.7,898947649.5,833249466.8,907655651.5,962797146.5,1014621520
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,989875559.1,1045790133,1053512334,1047808175,1178204501,1346933490
